,0\O 
773\O ,"\O Party\Hin=पार्टी toh\Hin=तोह hogayi\Hin=होगाई ,\O now\Eng watch\Eng the\Eng journey\Eng of\Eng Pavan\Eng and\Eng Munni\Hin=मुन्नी .\O #\O ZindagiKuchTohBata\Hin=ज़िंदगिकुच्तोहबता Tomorrow\Hin=तोमोर्रो morning\Eng at\Eng 11am\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O VsyaDyz53L\Eng "\O 
774\O ,\O Missed\Hin=मिसड् IIFA\Hin=आईफा this\Eng time\Eng in\Eng Malaysia\Eng .\O Will\Eng catch\Eng up\Eng tonight\Hin=टौनिट .\O 
775\O ,\O Yeh\Hin=यह dekho\Hin=देखो .\O http\Eng ://\O t\Eng .\O co\Hin=को /\O pDWXXWpIUg\Hin=प्द्व्क्स्क्स्व्पिउग 
776\O ,\O Next\Eng tweet\Eng is\Eng a\Eng link\Eng at\Eng 7\O .\O 59pm\Eng .\O Get\Eng linked\Eng with\Eng Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान 
777\O ,\O Tayyar\Hin=तैय्यर ho\Hin=ह #\O AajKiParty\Hin=आझ्कीपार्टी ke\Hin=क liye\Hin=लिये ?\O http\Eng ://\O t\Eng .\O co\Eng /\O f52osXaJRO\Eng 
778\O ,\O Back\Eng off\Eng …\O HERO\Hin=हीरों coming\Eng on\Eng 4th\Eng September\Eng @\O HeroTheFilm\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O TyqZOcDQxr\Hin=ट्य्क़्जोच्द्क़्क्स्र 
779\O ,\O Is\Hin=इस mahine\Hin=महीने ke\Hin=क Nominations\Eng for\Eng #\O SwachhBharat\Hin=स्वछ्भारत .\O Before\Eng aur\Eng After\Eng ke\Hin=क bhejo\Hin=भेजो videos\Hin=वीडिव्ज yaha\Hin=यह .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O hemBmbRvcR\Hin=हेम्ब्म्ब्र्व्क्र 
780\O ,\O Launching\Eng Kabir\Eng Khan\Eng Out\Eng of\Eng space\Eng in\Eng Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान squekil\Eng one\Eng and\Eng half\Eng   \O http\Eng ://\O t\Eng .\O co\Eng /\O TK9wRBYZAi\Eng 
781\O ,\O Yeh\Hin=यह Lo\Hin=ल ..\O http\Eng ://\O t\Eng .\O co\Eng /\O UgDTP8tRCF\Eng 
782\O ,#\O BharDoJholiMeri\Hin=भर्दोझोलीमेरी aa\Hin=आआ raha\Hin=रह hai\Hin=हैं jald\Hin=जल्ड़ hi\Hin=ही @\O AdnanSamiLive\Hin=अडनन्समिलाइव ki\Hin=की awaaz\Hin=आवाज़ mein\Hin=मेइं http\Eng ://\O t\Eng .\O co\Eng /\O bxj967uRdD\Eng 
783\O ,\O Guess\Eng in\Eng whose\Eng voice\Eng .\O 
784\O ,\O My\Eng favorite\Eng song\Eng coming\Eng soon\Eng in\Eng ...\O voice\Eng .\O 
785\O ,"\O https\Eng ://\O t\Eng .\O co\Hin=को /\O TViKwhrRmk\Hin=त्विकव्ह्र्र्म्क 
Link\Eng itself\Eng explanatory\Eng "\O 
786\O ,"\O My\Eng dad\Eng strongest\Eng .\O Salim\Hin=सलीम khan\Hin=खान (\O dullu\Hin=दुल्लु )\O urff\Hin=उर्फ् prince\Eng Saleem\Eng the\Eng original\Eng bajrangi\Hin=बाजरांगी bhaijaan\Hin=भैजान ,\O happy\Eng father's\Eng day\Eng daddy\Eng .\O http\Eng ://\O t\Eng .\O co\Hin=को /\O UShuo4vHPQ\Hin=उसुओ4व्ह्प्क़ "\O 
787\O ,"\O U\Hin=उ r\Eng absolutely\Eng right\Eng .\O Any\Eng body\Eng can\Eng dance\Eng n\Hin=न wen\Hin=वे u\Hin=उ dancing\Hin=डांईसिंग the\Eng second\Eng time\Eng around\Eng u\Eng get\Eng a\Eng lot\Eng better\Eng .\O I\Hin=इ Think\Eng ABCD2\Eng vil\Eng Rock\Eng ,\O smile\Eng varun\Hin=वरुँ ."\O 
788\O ,\O Wat\Hin=वाट ?\O 
789\O ,\O Can\Hin=सकें 
790\O ,\O Body\Hin=बॉडी 
791\O ,\O Any\Eng 
792,2\O 
793\O ,\O C\Eng 
794\O ,\O B\Hin=ब 
795\O ,\O A\Hin=आ 
796\O ,\O Ramadan\Hin=रमदन mubarakh\Hin=मुबारख ho\Hin=ह 
797,"टीज़र,\O गाना,\O ट्रेलर...\O अब\O एक\O और\O गाना.\O रोमॅन्स\O भरा\O आपके\O लिए\O ...\O http\Eng ://\O t\Eng .\O co\Hin=को /\O db6OI3fiJd\Hin=ड्ब्6ओइ3फ़िज्द "\O 
798\O ,\O Teaser\Eng .\O Gaana\Hin=गाना .\O Trailer\Eng .\O Ab\Hin=अब ek\Hin=इक aur\Hin=अर् gaana\Hin=गाना .\O Filled\Eng with\Eng Romance\Eng .\O Aapke\Hin=आपके liye\Hin=लिये http\Eng ://\O t\Eng .\O co\Hin=को /\O db6OI3fiJd\Hin=ड्ब्6ओइ3फ़िज्द 
799,आप\O भी\O क्या\O याद\O रखोगे\O .\O http\Eng ://\O t\Eng .\O co\Eng /\O klo82chFXh\Eng #\O BajrangiBhaijaanTrailer\Hin=बाजरांगिभैजान्ट्रेलर 
800\O ,\O Aap\Hin=आअप् Bhi\Hin=भही kya\Hin=क्या Yaad\Hin=याद rakhoge\Hin=रखोगे .\O http\Eng ://\O t\Eng .\O co\Eng /\O klo82chFXh\Eng #\O BajrangiBhaijaanTrailer\Hin=बाजरांगिभैजान्ट्रेलर 
801,30\O सेकेंड्स\O लगते\O है\O चलते\O हुए\O घर\O के\O लिए\O .\O पहुच\O कर\O अपलोड\O करता\O हू\O ...\O 
802\O ,\O It's\Eng a\Eng 30\O second\Eng long\Eng walk\Eng !!\O Will\Eng upload\Eng when\Eng I\Eng reach\Eng home\Eng ..\O 
803,"ना\O 3G\Eng है,\O ना\O Wi-Fi\Eng ,\O और\O ना\O ही\O कोई\O Internet\Eng यहा\O पर\O ..\O इसलिए\O अपलोड\O नही\O करूंगा.."\O 
804\O ,\O Oh\Hin=ओह ho\Hin=ह ..\O No\Eng 3G\Eng ..\O No\Eng wifi\Eng ..\O Not\Eng Internet\Eng at\Eng all\Eng ..\O So\Eng not\Eng uploading\Eng ...\O 
805,प्रोमो\O टाइम\O पर\O रेडी\O हो\O गया\O ..\O जल्द\O आ\O रहा\O है\O ..\O 
806\O ,\O Promo\Eng just\Eng gotten\Eng ready\Eng in\Eng time\Eng ..\O Coming\Eng up\Eng ..\O 
807,माफ़\O करना\O दोस्तो\O प्रोमो\O रेडी\O नही\O है\O .\O 
808\O ,\O Sorry\Hin=शरी guys\Eng Promo\Eng not\Eng ready\Eng yet\Eng .\O 
809,"याद\O दिलानेके\O लिए\O शुक्रिया,\O भूल\O ही\O गया\O था."\O 
810\O ,\O Thank\Eng you\Hin=यूं guys\Eng for\Eng reminding\Eng me\Eng almost\Eng forgot\Eng .\O 
811\O ,"\O So\Eng today\Eng at\Eng 5\O pm\Eng ,\O till\Eng then\Eng TC\Eng .\O :)"\O 
812\O ,\O At\Eng 5pm\Eng I\Eng am\Eng tweeting\Eng The\Hin=ते Bajrangi\Hin=बाजरांगी trailer\Eng #\O BBTrailerAt5pm\Eng http\Eng ://\O t\Eng .\O co\Eng /\O j1F8TjCchG\Eng 
813\O ,"\O If\Eng I\Eng forget\Eng ,\O remind\Eng kardena\Hin=कर्दना plz\Hin=प्ल्ज़ around\Hin=एरोऊँड 4\O ya\Hin=या 4.30."\O 
814\O ,\O http\Eng ://\O t\Eng .\O co\Eng /\O tNtS8f7pug\Eng 
815\O ,\O Vashi\Hin=वशी ka\Hin=का toll\Eng on\Eng hai\Hin=हैं .\O 
816\O ,@\O bbthiseid\Eng #\O 1daytogoforBajrangiBhaijaanTrailer\Eng اور\O یه\O رهاپوسٹر\O اُردومیں\O http\Eng ://\O t\Eng .\O co\Eng /\O C6EAkn8uCY\Eng 
817,वादे\O के\O मुताबिक\O यह\O रहा\O बजरंगी\O भाईजान\O @\O bbthiseid\Eng का\O पोस्टर\O हिन्दी\O में\O भी.\O #\O 1daytogoforBajrangiBhaijaanTrailer\Eng http\Eng ://\O t\Eng .\O co\Eng /\O RB6Fhl0qif\Eng 
818\O ,\O Bajrangi\Hin=बाजरांगी bhaijaan\Hin=भैजान http\Eng ://\O t\Eng .\O co\Eng /\O 6jW47ZD5zA\Eng 
819\O ,"\O To\Hin=तू know\Eng more\Eng about\Eng me\Eng and\Eng my\Eng movies\Eng  ,\O here's\Eng what\Eng you\Eng have\Eng to\Eng do\Eng !  \O http\Eng ://\O t\Eng .\O co\Hin=को /\O IwyCzsshRW\Eng  #\O 2daystogoforBajrangiBhaijaanTrailer\Hin=2दइअसतोगोफोरबाजरांगिभैजान्ट्रेलर @\O BBThisEid\Hin=ब्ब्थीसेइड "\O 
820\O ,#\O 3daystogoforBajrangiBhaijaanTrailer\Eng @\O BBThisEid\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O kHYJHEbQdV\Hin=खैझेब्क़्द्व 
821\O ,\O Aree\Hin=अरी Kaha\Hin=कहा toh\Hin=तोह tha\Hin=ता Glimpse\Eng tha\Eng ;)\EMT 
822\O ,\O Aaj\Hin=आअय् Dus\Hin=दस Baje\Hin=बजे .\O Glimpse\Eng of\Eng something\Eng special\Eng .\O 
823\O ,\O My\Eng Lucky's\Eng new\Eng Movie\Hin=मूवी Bezubaan\Hin=बेज़ुबान Ishq\Hin=इश्क़ song\Hin=सौंग https\Eng ://\O t\Eng .\O co\Eng /\O k50iSISK3P\Eng 
824\O ,\O Read\Eng this\Eng .\O No\Eng 1\O has\Eng done\Eng this\Eng to\Eng us\Eng but\Eng our\Eng self's\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O Iqu06s7onO\Eng 
825\O ,\O Challo\Eng tweets\Eng khatam\Hin=खताम .\O So\Hin=सो jao\Hin=जाओ ya\Hin=या appna\Hin=अपना kaam\Hin=काम karo\Hin=करो .\O B\Hin=ब happy\Hin=हैप्पी 
826\O ,"\O Aap\Hin=आअप् k\Hin=क bhai\Hin=भाई ki\Hin=की Tarah\Hin=तरह baat\Hin=बात kar\Hin=कार raha\Hin=रह hoon\Hin=हूँ ,\O toh\Hin=तोह aab\Hin=आअब् bhai\Hin=भाई ki\Hin=की baat\Hin=बात sunno\Hin=सुन्न .\O Vo\Hin=वो he\Hin=ही kahraha\Hin=कहरह hoon\Hin=हूँ jo\Hin=ज aap\Hin=आअप् k\Hin=क apno\Hin=अपनों ne\Hin=ने kaha\Hin=कहा hai\Hin=हैं aur\Hin=अर् apno\Hin=अपनों se\Hin=सी bologay\Hin=बोलोगाय "\O 
827\O ,\O Aur\Hin=अर् twitter\Hin=टविअर walon\Hin=वालों mein\Hin=मेइं itni\Hin=इतनी samaj\Hin=समझ nahi\Hin=नाही hai\Hin=हैं k\Eng abusive\Eng language\Eng band\Eng kar\Hin=कार le\Hin=ल ?\O Baccha\Hin=बच्चा baccha\Hin=बच्चा twitter\Hin=टविअर pe\Hin=पी hai\Hin=हैं .\O Hamare\Hin=हमारे aur\Hin=अर् aap\Hin=आअप् k\Hin=क bhi\Hin=भही .\O Samajeh\Hin=समजेह ?\O 
828\O ,"\O Agar\Hin=अगर reply\Hin=रिप्लाई karna\Hin=करना ho\Hin=ह toh\Hin=तोह Sirif\Hin=सिरीफ week\Eng end\Eng pe\Hin=पी karo\Hin=करो .\O Jab\Hin=जब koi\Hin=कोई kaam\Hin=काम nahi\Hin=नाही ho\Hin=ह ,\O jab\Hin=जब kuch\Hin=कुछ nahi\Hin=नाही karne\Hin=करने ko\Hin=को ho\Hin=ह ,\O aur\Hin=अर् kuch\Hin=कुछ nahi\Hin=नाही karne\Hin=करने ko\Hin=को kyun\Hin=क्युँ ho\Hin=ह ?\O B\Eng busy\Eng guys\Eng "\O 
829\O ,"\O I\Eng understand\Eng hero\Eng ,\O fan\Hin=फ़न ,\O bhai\Hin=भाई ,\O sister\Hin=सिस्टर ,\O beta\Eng ,\O love\Eng ,\O concern\Eng respect\Eng ,\O worry\Eng ,\O Sab\Hin=सब Theek\Hin=थीक hai\Hin=हैं .\O My\Eng problem\Eng is\Eng that\Eng ,\O how\Eng that\Eng instant\Eng reply\Eng ?\O Y\Hin=य ?"\O 
830\O ,"\O Wen\Hin=वे I\Eng am\Eng absolutely\Eng free\Eng ,\O I\Eng tweet\Hin=तवीट n\Hin=न as\Eng soon\Eng as\Eng I\Eng tweet\Hin=तवीट I\Hin=इ see\Eng trending\Eng ,\O retweets\Eng etc\Eng ,\O Itna\Hin=इत्ना time\Hin=टाइम hai\Hin=हैं Sab\Hin=सब k\Eng pass\Hin=पास kya\Hin=क्या ?\O Kyun\Hin=क्युँ hai\Hin=हैं Itna\Hin=इत्ना time\Eng ?"\O 
831\O ,"\O don't\Hin=डों'ट waste\Hin=वासते your\Hin=यर time\Hin=टाइम n\Eng energy\Eng on\Eng this\Eng stupid\Eng negativity\Eng or\Eng even\Eng the\Eng compliments\Eng ,\O go\Eng n\Eng make\Eng your\Eng own\Eng life\Eng n\Hin=न b\Hin=ब happy\Hin=हैप्पी .\O Kasaam\Hin=कसाम se\Hin=सी "\O 
832\O ,"\O I\Eng wld\Hin=व्ल्ड़ b\Eng the\Eng happiest\Eng man\Eng if\Eng u\Hin=उ have\Eng no\Eng time\Eng to\Eng follow\Eng me\Hin=मे ,\O b\Hin=ब on\Eng twitter\Eng ,\O reply\Eng ,\O etc\Eng n\Eng make\Eng your\Eng life\Hin=लाइफ n\Hin=न b\Eng your\Eng own\Eng hero\Eng .\O Yeh\Hin=यह Sab\Hin=सब jhoul\Hin=झोउल hai\Hin=हैं "\O 
833\O ,"\O Don't\Hin=डों'ट waste\Hin=वासते your\Hin=यर time\Eng on\Eng these\Eng bakwass\Hin=बक्वस things\Eng .\O not\Eng important\Eng ,\O important\Eng is\Eng that\Eng u\Hin=उ r\Hin=र so\Eng busy\Eng that\Eng u\Hin=उ don't\Hin=डों'ट have\Eng any\Eng time\Eng for\Eng this\Eng rubbish\Eng "\O 
834\O ,"\O Who\Eng don't\Eng agree\Eng ,\O don't\Eng follow\Eng .\O Ek\Hin=इक accha\Hin=अच्चा medium\Eng ek\Hin=इक zariya\Hin=जरिया ek\Hin=इक connect\Eng ko\Hin=को barbaad\Hin=बर्बाद mat\Hin=मत karo\Hin=करो .\O Opinion\Eng Dena\Eng hai\Hin=हैं toh\Hin=तोह respect\Hin=रिसपेक्ट se\Hin=सी ,\O our\Hin=आअर OWN\Hin=आउँ kar\Hin=कार k\Hin=क do\Hin=दो ."\O 
835\O ,\O Buss\Hin=बस challo\Hin=चल्लो khyaal\Hin=ख़्याल rakho\Hin=रखों n\Hin=न aapna\Hin=आपना level\Hin=लेबल badhao\Hin=बढ़ाओ .\O 
836\O ,"\O Sooch\Hin=सोच samaj\Hin=समझ k\Hin=क Kal\Hin=का jawaab\Hin=जवाब Dena\Hin=देना .\O Phir\Hin=फिर decide\Hin=डेसिड karoonga\Hin=करूँगा k\Hin=क I\Hin=इ wanna\Hin=वाना b\Hin=ब here\Eng or\Eng not\Eng ,\O aur\Eng guaranty\Hin=गारंटी hai\Hin=हैं k\Hin=क Sab\Hin=सब aap\Hin=आअप् k\Hin=क stars\Eng vil\Eng say\Eng the\Eng same\Eng ."\O 
837\O ,"\O Sharukh\Hin=शरुक n\Hin=न amir\Hin=अमीर hate\Eng it\Eng oo\Hin=और .\O N\Hin=न for\Hin=फॉर my\Eng fans\Eng don't\Eng let\Eng me\Hin=मे dwn\Hin=दव्न .\O Srk\Eng n\Hin=न amir\Hin=अमीर khan\Hin=खान r\Eng my\Hin=मी friend\Hin=फ्रेंड toh\Hin=तोह buss\Hin=बस .\O Bhad\Hin=भाद mein\Hin=मेइं gaya\Hin=गया No\Hin=नो 1,2,3.\O Samjhe\Hin=समझे kya\Hin=क्या ?"\O 
838\O ,\O Don't\Hin=डों'ट even\Eng need\Eng to\Eng tweet\Eng all\Eng this\Eng but\Eng wanted\Eng to\Eng so\Eng that\Eng u\Hin=उ understand\Eng it's\Eng not\Eng cool\Eng fr\Hin=फ्र u\Hin=उ fans\Eng to\Eng fight\Eng vit\Eng each\Eng other\Eng .\O 
839\O ,"\O Ek\Hin=इक toh\Hin=तोह vaise\Hin=वैसे bhi\Hin=भही kum\Eng tweet\Eng Karta\Hin=करता hoon\Hin=हूँ ,\O nahi\Hin=नाही karne\Hin=करने pe\Hin=पी majboor\Hin=मजबूर mat\Hin=मत karo\Hin=करो .\O Nahi\Hin=नाही that\Eng twitter\Eng pe\Hin=पी nahi\Hin=नाही hoonga\Hin=होँगा phir\Hin=फिर se\Hin=सी ,\O kaunsi\Hin=कौन्सी Badi\Hin=बड़ी baat\Hin=बात hai\Hin=हैं "\O 
840\O ,\O Have\Hin=हवे come\Hin=कौमअ here\Eng so\Eng v\Eng can\Eng grow\Eng together\Eng b\Eng happy\Hin=हैप्पी n\Hin=न if\Hin=इफ़ me\Hin=मे n\Eng my\Eng colleges\Eng r\Eng creating\Eng a\Eng darrar\Eng between\Eng fans\Eng then\Eng it's\Eng not\Eng wort\Eng it\Eng .\O 
841\O ,\O Yahaan\Hin=यहान pe\Hin=पी koi\Hin=कोई compete\Hin=क्मपीटे karne\Hin=करने k\Hin=क liyeh\Hin=लियह nahi\Hin=नाही aah\Hin=आअह् ya\Hin=या hoon\Hin=हूँ k\Hin=क kiss\Hin=किस k\Eng followers\Eng zyada\Hin=ज्यादा hai\Hin=हैं aur\Hin=अर् Kaun\Hin=क्यून mere\Hin=मेर doston\Hin=दोस्तों n\Eng competitors\Eng ko\Eng Gira\Hin=गिरा raha\Hin=रह hai\Hin=हैं .\O 
842\O ,"\O I\Eng vil\Eng not\Eng b\Eng on\Eng this\Eng social\Eng net\Eng work\Eng any\Eng more\Eng .\O Bus\Hin=बस khallas\Hin=खल्लास ,\O khatam\Hin=खताम ,\O wanna\Hin=वाना follow\Eng me\Hin=मे n\Eng want\Eng me\Hin=मे to\Eng b\Eng here\Hin=हेरे to\Hin=तू Pyar\Hin=प्यार mohobbat\Hin=मोहब्बत se\Hin=सी raho\Hin=रहों .\O Or\Hin=और I\Hin=इ am\Hin=आम out\Eng "\O 
843\O ,\O How\Eng rich\Eng in\Eng culture\Eng n\Eng respect\Eng v\Eng were\Eng .\O Kya\Hin=क्या ho\Hin=ह gaya\Hin=गया yaar\Hin=यार .\O Itni\Hin=इतनी nafrat\Hin=नफ़रत Pyar\Hin=प्यार mein\Hin=मेइं kyun\Hin=क्युँ ?\O If\Eng any\Eng 1\O who\Eng follows\Eng me\Eng disrespect\Eng any\Eng of\Eng my\Eng faternity\Eng 
844\O ,"\O Don't\Eng want\Eng them\Eng to\Eng fight\Eng or\Eng turn\Eng nasty\Eng ,\O ugly\Eng ,\O abusive\Eng .\O Twitter\Eng shld\Eng also\Eng block\Eng abusive\Eng language\Eng ,\O how\Eng difficult\Eng is\Eng that\Eng ."\O 
845\O ,\O See\Eng a\Eng lot\Eng of\Eng love\Eng n\Eng respect\Eng n\Hin=न happy\Eng to\Eng b\Eng here\Eng but\Eng then\Eng thr\Eng is\Eng a\Eng lot\Eng of\Eng die\Eng hard\Eng fans\Eng who\Eng r\Eng going\Eng wrong\Eng in\Eng thr\Eng thought\Eng process\Eng competing\Eng .\O 
846\O ,"\O Continue\Eng it\Eng n\Hin=न I\Hin=इ vil\Hin=विल b\Eng off\Eng twitter\Eng .\O Came\Eng here\Eng to\Eng spread\Eng love\Eng ,\O share\Eng sm\Eng thoughts\Eng hv\Hin=ह्व fun\Hin=फन vit\Hin=विट fans\Eng not\Eng for\Eng them\Eng to\Eng insult\Eng my\Eng fraternity\Eng .\O Hut\Hin=हत "\O 
847\O ,"\O Messed\Eng up\Eng fighting\Eng over\Eng yr\Eng hero's\Eng vit\Eng each\Eng other\Eng .\O make\Eng this\Eng journey\Eng beautiful\Eng ,\O dint\Eng sign\Eng up\Eng fr\Eng this\Eng ugly\Eng twitter\Eng war\Eng n\Eng not\Eng a\Eng part\Eng of\Eng it\Eng ."\O 
848\O ,"\O Fan\Eng who\Eng is\Eng on\Eng a\Eng false\Eng identity\Eng using\Eng it\Eng to\Eng put\Eng another\Eng actor\Eng ,\O friend\Eng colleague\Eng down\Eng ,\O is\Eng no\Eng fan\Eng of\Eng mine\Eng ,\O don't\Eng like\Eng .\O simple\Eng funda\Hin=फंडा hai\Hin=हैं ."\O 
849\O ,\O How\Eng many\Eng of\Eng u\Eng r\Hin=र on\Eng false\Eng identities\Eng n\Eng y\Eng ?\O 
850\O ,@\O TheSlyStallone\Eng sorry\Eng for\Eng the\Eng delay\Eng in\Eng acknowledging\Eng .\O Had\Eng turned\Eng into\Eng a\Eng punching\Eng bag\Hin=बाग .\O Now\Hin=नो back\Eng on\Eng my\Eng feet\Hin=फिट JUST\Hin=जस्ट A\Hin=आ MAN\Hin=मान AND\Hin=एंड HIS\Hin=हिस WILL\Hin=विल TO\Hin=तू SURVIVE\Eng !\O 
851\O ,\O Selfie\Eng lena\Eng acha\Hin=अचा lagta\Hin=लगता hai\Hin=हैं na\Hin=ना ?\O Chalo\Hin=चलों ab\Hin=अब #\O SelfieLeLeRe\Hin=सेल्फीलेलरे gaana\Hin=गाना dekho\Hin=देखो http\Eng ://\O t\Eng .\O co\Eng /\O O7TR07Uzt7\Eng @\O BBThisEid\Eng 
852\O ,\O Chal\Hin=चल beta\Eng selfie\Eng le\Eng le\Hin=ल re\Hin=री ...\O Go\Hin=गो to\Eng @\O BBThisEid\Hin=ब्ब्थीसेइड and\Eng participate\Eng in\Eng the\Eng selfie\Eng contest\Eng .\O #\O Selfielelerecomingsoon\Eng http\Eng ://\O t\Eng .\O co\Eng /\O k7TdlBCRcu\Eng 
853\O ,\O Ye\Hin=ये raha\Hin=रह #\O BajrangiBhaijaanTeaser\Hin=बाजरांगिभैजान्टीअसर .\O http\Eng ://\O t\Eng .\O co\Hin=को /\O zjbHZFzwky\Hin=ज़्जभ्ज़्फ्ज़्व्की @\O BBThisEid\Hin=ब्ब्थीसेइड 
854\O ,\O Accha\Hin=अच्चा laga\Hin=लग mtg\Eng the\Eng wndrful\Eng ppl\Eng at\Eng the\Eng Indian\Eng embassy\Eng yahan\Eng Dubai\Hin=डुबई main\Hin=मां .\O 
855\O ,\O Aaj\Hin=आअय् raat\Hin=राअत् India\Hin=इंडिया time\Eng theek\Hin=थीक 7:58\O baje\Hin=बजे Star\Eng network\Eng ke\Eng channels\Eng aur\Eng Hotstar\Hin=होट्स्टर pe\Hin=पी .\O #\O BBTeaserTonight\Eng @\O BBThisEid\Eng 
856\O ,"\O Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान ka\Hin=का namaste\Hin=नमस्ते ,\O aapko\Hin=आपको !\O #\O BBTeaserTonight\Hin=ब्ब्तीअसेरटनिट @\O BBThisEid\Eng http\Eng ://\O t\Eng .\O co\Eng /\O boVLivo5fr\Eng "\O 
857\O ,"\O Also\Eng for\Eng all\Eng my\Eng fans\Hin=फZzस् ,\O I\Eng will\Eng soon\Eng start\Eng tweeting\Eng in\Eng हिन्दी\O and\Eng اردو\O also\Eng ."\O 
858\O ,\O Thanking\Eng sharukh\Hin=शरुक n\Hin=न amir\Eng for\Eng the\Eng 1st\Eng look\Eng of\Eng bajrangi\Hin=बाजरांगी bhaijaan\Hin=भैजान .\O V\Eng touched\Eng n\Eng extremely\Eng happy\Eng .\O God's\Eng give\Eng them\Eng n\Eng thr\Eng fans\Eng all\Eng the\Eng happiness\Eng .\O 
859\O ,\O Yeh\Hin=यह dekho\Hin=देखो .\O http\Eng ://\O t\Eng .\O co\Hin=को /\O HsltBmDVAs\Hin=ह्स्ल्त्ब्म्दवस 
860\O ,\O Tribute\Eng to\Eng Shotgun\Eng ..\O https\Eng ://\O t\Eng .\O co\Eng /\O QvErM9oc1m\Eng 
861\O ,"@\O TheSlyStallone\Eng Isse\Eng beheter\Hin=बेहतर body\Eng ,\O director\Eng ,\O writer\Eng ,\O insaan\Hin=इन्सान koi\Hin=कोई nahi\Hin=नाही hai\Hin=हैं .\O I've\Eng always\Eng followed\Eng him\Eng in\Eng life\Eng but\Eng my\Eng fault\Eng not\Eng on\Eng socialmedia\Eng "\O 
862\O ,@\O TheSlyStallone\Eng I\Eng still\Eng workout\Eng to\Eng eye\Eng of\Eng the\Eng tiger\Eng .\O We\Eng all\Eng ve\Eng seen\Eng Rocky\Eng n\Eng Rambo\Eng ..\O must\Eng follow\Eng 
863\O ,"\O Agar\Hin=अगर kisi\Hin=किसी ko\Hin=को follow\Hin=फॉलो karna\Hin=करना hai\Hin=हैं ?\O Bahar\Hin=बहार ka\Hin=का ...\O inko\Hin=इनको follow\Eng karo\Hin=करो 
@\O TheSlyStallone\Eng 
Aapke\Hin=आपके Hero\Hin=हीरों ka\Hin=का hero\Hin=हीरों 
Sylvester\Eng Stallone\Eng "\O 
864\O ,\O Kamaal\Hin=कमाल karte\Hin=करते ho\Hin=ह Varun\Hin=वरुँ Dhawan\Hin=धावन ...\O made\Eng ur\Eng dad\Hin=दाद n\Hin=न me\Hin=मे so\Eng proud\Eng of\Eng u\Eng ...\O happy\Hin=हैप्पी Shhuddhi\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O DfQtSEqcpo\Hin=द्फ्क़्ट्सेक़्च्पो 
865\O ,\O The\Eng press\Eng con\Eng was\Eng not\Eng to\Eng promote\Eng Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान but\Hin=बुत to\Eng rightfully\Eng promote\Eng Kashmir\Eng tourism\Eng &\O amp\Eng ;\O it\Eng is\Eng truly\Eng Beautiful\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O 2FXaPbWoog\Eng 
866\O ,\O Wah\Hin=वाह yaar\Hin=यार Mazza\Hin=मज़ा aah\Hin=आअह् Gaya\Hin=गया kamal\Hin=कमल karte\Hin=करते ho\Hin=ह Kashmirji\Hin=कश्मिर्जी http\Eng ://\O t\Eng .\O co\Hin=को /\O rmHMDmUFLe\Hin=र्म्ह्म्दमुफ्ले 
867\O ,\O Maashallah\Hin=माशाल्लाह Maashallah\Hin=माशाल्लाह se\Hin=सी yaad\Hin=याद aya\Hin=आया katrina\Hin=कत्रीना kaif\Hin=काऐफी bhi\Hin=भही Kashmir\Hin=कश्मीर se\Hin=सी hai\Hin=हैं 
